fold,validation_start,validation_end,candidate,status,profile,initial_cash,leverage,base_risk_pct,max_risk_pct,candidates,allowed_candidates,executed_trades,skipped,skipped_no_risk,skipped_max_positions,skipped_symbol_limit,skipped_cash,skipped_daily_halt,skipped_weekly_halt,final_cash,ret_pct,max_dd_pct,pf,winrate,max_loss_streak,symbols_traded,symbols_positive,total_fees,avg_risk_pct,trades,gross_profit,gross_loss,net_pnl,pooled_pf,risk_state_counts
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,SOFT_DELAY_ONE_5M_IF_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,122,36,28,8,0,6,2,0,0,0,476.19,-4.76,14.58,0.7228,32.14,6,16,6,19.3206,0.005,28,36.87933191,51.0258975,-14.14656559,0.7227571432363752,"{""adverse"": 81, ""neutral"": 127, ""supportive"": 10}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,SOFT_DELAY_ONE_5M_IF_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,161,122,65,57,0,35,4,0,18,0,433.52,-13.3,19.41,0.661,30.77,9,27,11,48.6063,0.005,65,82.25172436,124.43098225,-42.17925788,0.6610228648852905,"{""adverse"": 85, ""neutral"": 120, ""supportive"": 6}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,SOFT_DELAY_ONE_5M_IF_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,175,38,15,23,0,19,1,0,3,0,464.26,-7.15,10.37,0.1284,6.67,13,11,1,6.8339,0.005,15,4.76286981,37.08786761,-32.32499779,0.12842123634649552,"{""adverse"": 70, ""neutral"": 160, ""supportive"": 8}"
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,SOFT_DELAY_ONE_5M_IF_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,224,26,22,4,0,3,1,0,0,0,498.44,-0.31,6.63,1.0942,40.91,5,15,7,9.5035,0.005,22,37.04854107,33.8601652,3.18837586,1.094163033272201,"{""adverse"": 100, ""neutral"": 223, ""supportive"": 15}"
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,SOFT_DELAY_ONE_5M_IF_ADVERSE,OK,research_500,500.0,20.0,0.005,0.005,86,43,38,5,0,2,0,0,3,0,463.96,-7.21,13.35,0.626,28.95,9,17,5,17.8971,0.005,38,45.34140445,72.43574386,-27.09433941,0.6259534594056649,"{""adverse"": 79, ""neutral"": 100, ""supportive"": 6}"
fold_01,2025-01-31T00:00:00,2025-03-23T14:22:30,SOFT_SUPPORTIVE_110_ADVERSE_060,OK,research_500,500.0,20.0,0.005,0.005,121,13,13,0,0,0,0,0,0,0,485.11,-2.98,4.82,0.3883,15.38,9,9,2,2.5513,0.003962,13,8.6412718,22.25345345,-13.61218165,0.38831149599634457,"{""adverse"": 85, ""neutral"": 97, ""supportive"": 11}"
fold_02,2025-03-23T14:22:30,2025-05-14T04:45:00,SOFT_SUPPORTIVE_110_ADVERSE_060,OK,research_500,500.0,20.0,0.005,0.005,281,29,26,3,0,3,0,0,0,0,481.21,-3.76,9.31,0.6864,30.77,6,17,5,12.5118,0.004077,26,27.4446346,39.98165682,-12.53702222,0.6864306479524993,"{""adverse"": 144, ""neutral"": 193, ""supportive"": 15}"
fold_03,2025-05-14T04:45:00,2025-07-04T19:07:30,SOFT_SUPPORTIVE_110_ADVERSE_060,OK,research_500,500.0,20.0,0.005,0.005,163,49,36,13,0,12,1,0,0,0,464.84,-7.03,13.14,0.5449,22.22,16,19,8,15.6476,0.004014,36,32.73519383,60.07142778,-27.33623394,0.5449378356030489,"{""adverse"": 100, ""neutral"": 195, ""supportive"": 17}"
fold_04,2025-07-04T19:07:30,2025-08-25T09:30:00,SOFT_SUPPORTIVE_110_ADVERSE_060,OK,research_500,500.0,20.0,0.005,0.005,288,34,28,6,0,5,1,0,0,0,487.96,-2.41,8.71,0.8454,32.14,5,17,8,11.7117,0.003848,28,33.78877446,39.96865622,-6.17988176,0.8453817980549776,"{""adverse"": 131, ""neutral"": 211, ""supportive"": 12}"
fold_05,2025-08-25T09:30:00,2025-10-15T23:52:30,SOFT_SUPPORTIVE_110_ADVERSE_060,OK,research_500,500.0,20.0,0.005,0.005,191,92,54,38,0,37,1,0,0,0,446.02,-10.8,17.01,0.5454,25.93,8,20,4,29.626,0.003866,54,46.98762203,86.1551415,-39.16751947,0.5453838414065011,"{""adverse"": 116, ""neutral"": 160, ""supportive"": 16}"
fold_06,2025-10-15T23:52:30,2025-12-06T14:15:00,SOFT_SUPPORTIVE_110_ADVERSE_060,OK,research_500,500.0,20.0,0.005,0.005,122,43,34,9,0,7,2,0,0,0,495.08,-0.98,9.6,1.1023,41.18,6,18,8,18.1975,0.003735,34,44.98611876,40.81211233,4.17400643,1.102273717032595,"{""adverse"": 81, ""neutral"": 127, ""supportive"": 10}"
fold_07,2025-12-06T14:15:00,2026-01-27T04:37:30,SOFT_SUPPORTIVE_110_ADVERSE_060,OK,research_500,500.0,20.0,0.005,0.005,161,106,65,41,0,31,4,0,6,0,478.69,-4.26,11.01,0.9456,36.92,7,28,11,33.057,0.003877,65,82.99131946,87.76985224,-4.77853278,0.9455561032231364,"{""adverse"": 85, ""neutral"": 120, ""supportive"": 6}"
fold_08,2026-01-27T04:37:30,2026-03-19T19:00:00,SOFT_SUPPORTIVE_110_ADVERSE_060,OK,research_500,500.0,20.0,0.005,0.005,175,37,15,22,0,19,1,0,2,0,470.97,-5.81,8.6,0.1336,6.67,13,11,1,5.5078,0.004083,15,4.05276848,30.32455591,-26.27178743,0.13364642475790922,"{""adverse"": 70, ""neutral"": 160, ""supportive"": 8}"
fold_09,2026-03-19T19:00:00,2026-05-10T09:22:30,SOFT_SUPPORTIVE_110_ADVERSE_060,OK,research_500,500.0,20.0,0.005,0.005,224,31,25,6,0,5,1,0,0,0,498.33,-0.33,6.32,1.0884,40.0,5,15,9,8.825,0.00368,25,33.75701511,31.01566284,2.74135227,1.0883860610063718,"{""adverse"": 100, ""neutral"": 223, ""supportive"": 15}"
fold_10,2026-05-10T09:22:30,2026-06-30T23:45:00,SOFT_SUPPORTIVE_110_ADVERSE_060,OK,research_500,500.0,20.0,0.005,0.005,86,45,39,6,0,3,0,0,3,0,470.25,-5.95,11.84,0.62,28.21,11,18,4,15.4226,0.003724,39,35.95107193,57.99023882,-22.03916689,0.6199504030325046,"{""adverse"": 79, ""neutral"": 100, ""supportive"": 6}"
